order_id,Distance_Rider_from_Store,travel_time_to_store,Distance_to_Customer,travel_time_to_customer,order_status,delivery_status,distance_category,Date
2279024,2.44,0,2.84,59,Completed,Late,Short Distance,14/12/2024
2279025,0.94,14,1.26,9,Completed,On Time,Short Distance,14/12/2024
2279026,2.44,8,3.64,14,Completed,Late,Short Distance,14/12/2024
2279028,2.12,0,2.74,36,Completed,On Time,Short Distance,14/12/2024
2279029,1.02,0,1.56,10,Completed,On Time,Short Distance,14/12/2024
2279030,0.76,0,2.59,169,Completed,Late,Short Distance,14/12/2024
2279033,2.12,0,5.93,24,Completed,Late,Long Distance,14/12/2024
2279034,2.06,0,2.61,6,Completed,On Time,Short Distance,14/12/2024
2279035,5.53,0,7.73,0,Cancelled,Unknown,Long Distance,Null
2279036,7.06,0,10.13,80,Completed,Late,Long Distance,14/12/2024
2279037,4.48,0,5.98,43,Completed,Late,Long Distance,14/12/2024
2279038,7.4,0,12.26,55,Completed,On Time,Long Distance,14/12/2024
2279039,3.01,0,4.49,10,Completed,Late,Short Distance,14/12/2024
2279040,3.94,0,6.93,31,Completed,On Time,Long Distance,14/12/2024
2279041,2.99,0,4.29,0,Cancelled,Unknown,Short Distance,Null
2279045,2.94,54,4.35,27,Completed,On Time,Short Distance,14/12/2024
2279046,5.18,3,5.57,15,Completed,On Time,Long Distance,14/12/2024
2279047,2.82,36,3.85,18,Completed,On Time,Short Distance,14/12/2024
2279048,1.57,14,3.38,11,Completed,On Time,Short Distance,14/12/2024
2279049,1.68,0,2.26,42,Completed,On Time,Short Distance,14/12/2024
2279050,3.23,0,4.93,31,Completed,On Time,Short Distance,14/12/2024
2279051,1.4,39,2.7,11,Completed,On Time,Short Distance,14/12/2024
2279052,3.06,0,6.99,39,Completed,Early,Long Distance,14/12/2024
2279054,3.24,0,8.63,27,Completed,On Time,Long Distance,14/12/2024
2279055,2.34,0,3.72,75,Completed,Late,Short Distance,14/12/2024
2279056,7.56,0,11.37,63,Completed,On Time,Long Distance,14/12/2024
2279057,1.89,0,3.59,24,Completed,Late,Short Distance,14/12/2024
2279058,1.05,54,1.15,7,Completed,On Time,Short Distance,14/12/2024
2279059,3.13,0,5.08,33,Completed,Late,Long Distance,14/12/2024
2279061,5.53,0,7.73,23,Completed,Late,Long Distance,14/12/2024
2279062,1.58,0,11.3,0,Cancelled,Unknown,Long Distance,Null
2279063,1.42,0,5.61,0,Cancelled,Unknown,Long Distance,Null
2279064,0.8,0,5.32,10,Completed,On Time,Long Distance,14/12/2024
2279065,4.71,0,12.96,39,Completed,On Time,Long Distance,14/12/2024
2279066,2.3,0,3.73,0,Cancelled,Unknown,Short Distance,Null
2279068,2.82,0,6,16,Completed,On Time,Long Distance,14/12/2024
2279069,6.42,0,10.26,35,Completed,On Time,Long Distance,14/12/2024
2279070,2.2,0,3.22,21,Completed,Late,Short Distance,14/12/2024
2279072,1.9,0,3.19,25,Completed,Late,Short Distance,14/12/2024
2279073,4.01,0,8.02,16,Completed,On Time,Long Distance,14/12/2024
2279074,1.46,39,2.7,20,Completed,On Time,Short Distance,14/12/2024
2279075,2.68,6,3.56,16,Completed,On Time,Short Distance,14/12/2024
2279076,1.94,0,2.4,16,Completed,On Time,Short Distance,14/12/2024
2279077,2.44,0,4.97,35,Completed,Late,Short Distance,14/12/2024
2279078,3.72,0,6.56,48,Completed,On Time,Long Distance,14/12/2024
2279079,1.04,4,1.35,7,Completed,On Time,Short Distance,14/12/2024
2279080,1.13,0,2.86,16,Completed,Late,Short Distance,14/12/2024
2279081,6.09,0,9.44,26,Completed,On Time,Long Distance,14/12/2024
2279082,2.06,0,2.28,13,Completed,On Time,Short Distance,14/12/2024
2279083,1.33,0,2.35,15,Completed,On Time,Short Distance,14/12/2024
2279084,1.77,5,2.79,6,Completed,Early,Short Distance,14/12/2024
2279086,3.77,0,5.29,42,Completed,On Time,Long Distance,14/12/2024
2279087,2.25,0,3.13,11,Completed,Late,Short Distance,14/12/2024
2279088,6.18,0,8.23,44,Completed,On Time,Long Distance,14/12/2024
2279089,3.81,0,5.74,41,Completed,Early,Long Distance,14/12/2024
2279090,6.34,0,9.61,35,Completed,On Time,Long Distance,14/12/2024
2279091,4.92,0,5.7,7,Completed,Late,Long Distance,14/12/2024
2279092,1.12,0,2.31,46,Completed,Late,Short Distance,14/12/2024
2279093,6.22,49,9.45,26,Completed,On Time,Long Distance,14/12/2024
2279094,1.37,0,1.99,22,Completed,Early,Short Distance,14/12/2024
2279095,1.36,0,2.51,17,Completed,Late,Short Distance,14/12/2024
2279096,1.9,0,3.92,23,Completed,On Time,Short Distance,14/12/2024
2279097,3.13,0,4.62,14,Completed,On Time,Short Distance,14/12/2024
2279098,1.83,0,2.55,7,Completed,Late,Short Distance,14/12/2024
2279099,0.67,0,1.75,30,Completed,On Time,Short Distance,14/12/2024
2279100,2.01,26,3.78,13,Completed,On Time,Short Distance,14/12/2024
2279101,4.08,0,5.61,25,Completed,Late,Long Distance,14/12/2024
2279103,3.85,0,5.94,15,Completed,On Time,Long Distance,14/12/2024
2279104,2.37,0,3,20,Completed,Late,Short Distance,14/12/2024
2279106,1.61,0,3.78,22,Completed,Late,Short Distance,14/12/2024
2279107,7.5,0,10.86,41,Completed,On Time,Long Distance,14/12/2024
2279108,5.91,16,8.29,17,Completed,On Time,Long Distance,14/12/2024
2279110,3.4,0,5.67,42,Completed,Late,Long Distance,14/12/2024
2279112,2.8,0,10.23,29,Completed,On Time,Long Distance,14/12/2024
2279113,5.14,0,5.68,18,Completed,On Time,Long Distance,14/12/2024
2279114,3.85,0,7.57,19,Completed,Late,Long Distance,14/12/2024
2279115,7.7,0,11.57,59,Completed,Early,Long Distance,14/12/2024
2279116,3.79,0,7.89,51,Completed,Late,Long Distance,14/12/2024
2279118,0.65,0,1.69,2,Completed,On Time,Short Distance,14/12/2024
2279119,1.3,0,3.94,14,Completed,Late,Short Distance,14/12/2024
2279120,3.13,9,4.57,17,Completed,Late,Short Distance,14/12/2024
2279122,2.93,0,4.89,30,Completed,Late,Short Distance,Null
2279123,1.1,14,2.18,7,Completed,Late,Short Distance,14/12/2024
2279124,4.38,0,7.13,19,Completed,On Time,Long Distance,14/12/2024
2279125,5.62,0,5.62,19,Completed,On Time,Long Distance,14/12/2024
2279126,4.59,0,7.02,23,Completed,On Time,Long Distance,14/12/2024
2279127,6.2,0,10.22,33,Completed,On Time,Long Distance,14/12/2024
2279128,2.55,56,5.37,11,Completed,Late,Long Distance,14/12/2024
2279129,3.61,0,4.89,21,Completed,Late,Short Distance,14/12/2024
2279130,4.26,113,8.22,7,Completed,Late,Long Distance,14/12/2024
2279131,1.41,11,1.95,36,Completed,On Time,Short Distance,14/12/2024
2279132,3.55,0,6.18,38,Completed,Late,Long Distance,14/12/2024
2279133,3.26,0,7.17,57,Completed,Late,Long Distance,14/12/2024
2279136,4.38,0,6.91,25,Completed,Late,Long Distance,14/12/2024
2279138,3.59,0,8.46,22,Completed,On Time,Long Distance,14/12/2024
2279140,1.19,0,2.02,16,Completed,Late,Short Distance,14/12/2024
2279141,5.77,72,17.24,29,Completed,On Time,Long Distance,14/12/2024
2279143,2.12,0,4.1,0,Cancelled,Unknown,Short Distance,14/12/2024
2279144,0.59,29,2.54,9,Completed,On Time,Short Distance,14/12/2024
2279145,4,0,5.3,26,Completed,On Time,Long Distance,14/12/2024
2279146,6.17,0,10.24,36,Completed,On Time,Long Distance,14/12/2024
2279150,3.83,0,6.34,28,Completed,On Time,Long Distance,14/12/2024
2279151,3.33,0,6.86,27,Completed,On Time,Long Distance,14/12/2024
2279153,1.95,0,11.2,26,Completed,On Time,Long Distance,Null
2279154,3.4,0,5.67,41,Completed,Late,Long Distance,14/12/2024
2279156,3,0,3.77,29,Completed,On Time,Short Distance,14/12/2024
2279157,7.95,0,12.02,65,Completed,Late,Long Distance,14/12/2024
2279158,0.78,0,2.99,15,Completed,On Time,Short Distance,14/12/2024
2279159,2.03,0,4.3,0,Cancelled,Unknown,Short Distance,Null
2279160,4.4,0,7,28,Completed,On Time,Long Distance,14/12/2024
2279161,2.74,0,3.76,98,Completed,On Time,Short Distance,Null
2279162,1.07,0,1.61,15,Completed,Late,Short Distance,14/12/2024
2279163,1.28,0,2.21,7,Completed,On Time,Short Distance,14/12/2024
2279164,3.78,0,6.28,19,Completed,Late,Long Distance,14/12/2024
2279165,4.71,0,6.82,48,Completed,On Time,Long Distance,14/12/2024
2279166,6.47,0,13.72,46,Completed,On Time,Long Distance,14/12/2024
2279167,0.39,38,1.69,12,Completed,On Time,Short Distance,14/12/2024
2279169,3.94,0,6.21,40,Completed,Late,Long Distance,14/12/2024
2279170,6.11,0,9.03,154,Completed,On Time,Long Distance,Null
2279172,3,0,9.9,21,Completed,Late,Long Distance,14/12/2024
2279173,1.78,0,3.81,32,Completed,On Time,Short Distance,14/12/2024
2279175,0.76,37,1.63,6,Completed,On Time,Short Distance,14/12/2024
2279176,3.66,0,4.95,12,Completed,On Time,Short Distance,14/12/2024
2279178,1.56,42,4.1,7,Completed,On Time,Short Distance,14/12/2024
2279179,3.24,0,5.23,15,Completed,On Time,Long Distance,14/12/2024
2279180,6.48,0,8.18,0,Cancelled,Unknown,Long Distance,Null
2279181,1.86,0,4.07,5,Completed,On Time,Short Distance,14/12/2024
2279182,7.95,26,13.57,35,Completed,On Time,Long Distance,14/12/2024
2279183,4.95,50,6.24,10,Completed,Late,Long Distance,14/12/2024
2279184,4.07,0,5.59,82,Completed,On Time,Long Distance,14/12/2024
2279185,3.65,0,5.03,0,Cancelled,Unknown,Long Distance,14/12/2024
2279186,1.44,0,3.24,9,Completed,On Time,Short Distance,14/12/2024
2279187,1.58,0,7.77,15,Completed,On Time,Long Distance,14/12/2024
2279188,7.09,0,10.62,336,Completed,On Time,Long Distance,Null
2279189,5.54,0,7.63,0,Cancelled,Unknown,Long Distance,Null
2279190,0.88,0,1.45,3,Completed,On Time,Short Distance,14/12/2024
2279191,0.87,0,2.12,7,Completed,On Time,Short Distance,14/12/2024
2279192,6.13,0,7.3,26,Completed,Late,Long Distance,14/12/2024
2279193,3.54,0,5.39,16,Completed,Late,Long Distance,14/12/2024
2279194,8.08,0,10.94,36,Completed,On Time,Long Distance,14/12/2024
2279195,0.77,0,1.39,4,Completed,Early,Short Distance,14/12/2024
2279197,1.81,1,5.57,11,Completed,On Time,Long Distance,14/12/2024
2279198,3.86,0,6.41,75,Completed,On Time,Long Distance,14/12/2024
2279199,4.86,14,5.93,40,Completed,On Time,Long Distance,14/12/2024
2279200,1.29,0,3.58,18,Completed,On Time,Short Distance,14/12/2024
2279201,1.27,0,4.39,17,Completed,On Time,Short Distance,14/12/2024
2279204,2.76,0,3.61,29,Completed,Late,Short Distance,14/12/2024
2279205,5.68,0,13.25,82,Completed,On Time,Long Distance,14/12/2024
2279207,0.5,0,1.98,8,Completed,Early,Short Distance,14/12/2024
2279208,4.66,0,9.12,44,Completed,On Time,Long Distance,14/12/2024
2279209,3.16,3,4.86,36,Completed,On Time,Short Distance,14/12/2024
2279210,1.25,0,4.92,10,Completed,On Time,Short Distance,14/12/2024
2279211,2.57,43,5.57,12,Completed,On Time,Long Distance,14/12/2024
2279212,5.05,0,8.81,0,Cancelled,Unknown,Long Distance,Null
2279215,0.26,0,0.99,40,Completed,On Time,Short Distance,14/12/2024
2279216,5.32,0,9.72,22,Completed,Early,Long Distance,14/12/2024
2279217,0.66,0,1.11,0,Completed,Early,Short Distance,14/12/2024
2279218,1.07,64,1.95,9,Completed,Late,Short Distance,14/12/2024
2279219,7.58,0,12.75,23,Completed,On Time,Long Distance,14/12/2024
2279220,2.21,0,3.98,25,Completed,On Time,Short Distance,14/12/2024
2279221,1.09,38,4.46,14,Completed,On Time,Short Distance,14/12/2024
2279222,0.39,0,1,3,Completed,Late,Short Distance,14/12/2024
2279223,3.69,0,4.61,15,Completed,On Time,Short Distance,14/12/2024
2279224,5.93,0,10.13,0,Cancelled,Unknown,Long Distance,Null
2279225,3.53,0,4.99,0,Cancelled,Unknown,Short Distance,Null
2279226,3,0,4.08,318,Completed,Late,Short Distance,14/12/2024
2279227,2.43,0,3.72,15,Completed,On Time,Short Distance,14/12/2024
2279228,0.15,19,0.54,0,Completed,Late,Short Distance,14/12/2024
2279229,2.95,0,5.2,35,Completed,On Time,Long Distance,14/12/2024
2279230,3.23,0,6.56,20,Completed,Late,Long Distance,14/12/2024
2279235,1.54,8,2.97,8,Completed,On Time,Short Distance,14/12/2024
2279236,3.31,0,5.12,7,Completed,On Time,Long Distance,14/12/2024
2279238,3.97,0,5.46,22,Completed,Late,Long Distance,14/12/2024
2279240,1.07,105,1.49,1,Completed,Late,Short Distance,14/12/2024
2279241,4.23,0,6.11,23,Completed,On Time,Long Distance,14/12/2024
2279242,2.96,0,7.99,72,Completed,Late,Long Distance,14/12/2024
2279243,3.22,8,6.29,28,Completed,On Time,Long Distance,14/12/2024
2279244,2.45,0,4.46,19,Completed,Late,Short Distance,14/12/2024
2279245,2.96,0,5.83,18,Completed,On Time,Long Distance,14/12/2024
2279246,6.37,1,10.15,23,Completed,On Time,Long Distance,14/12/2024
2279249,2.11,0,5.01,13,Completed,Late,Long Distance,14/12/2024
2279251,6.03,77,7.83,28,Completed,Late,Long Distance,14/12/2024
2279253,6.8,0,9.44,0,Cancelled,Unknown,Long Distance,Null
2279255,0.68,0,0.89,0,Completed,On Time,Short Distance,14/12/2024
2279256,0.64,1,1.44,6,Completed,Late,Short Distance,14/12/2024
2279258,1.48,0,3.74,23,Completed,On Time,Short Distance,14/12/2024
2279260,6.3,0,8.59,33,Completed,Late,Long Distance,14/12/2024
2279261,1.01,13,1.58,6,Completed,On Time,Short Distance,14/12/2024
2279262,3.16,0,4.5,10,Completed,On Time,Short Distance,14/12/2024
2279263,4.48,0,6.45,21,Completed,Late,Long Distance,14/12/2024
2279264,1.13,0,1.97,156,Completed,Late,Short Distance,14/12/2024
2279265,1.46,0,2.91,32,Completed,On Time,Short Distance,14/12/2024
2279266,0.37,7,1.07,3,Completed,Late,Short Distance,14/12/2024
2279267,2.72,0,5.43,19,Completed,Late,Long Distance,14/12/2024
2279268,3.17,0,4.68,14,Completed,Late,Short Distance,14/12/2024
2279269,8.37,0,15.74,58,Completed,On Time,Long Distance,14/12/2024
2279270,1.73,0,4.34,49,Completed,On Time,Short Distance,14/12/2024
2279271,3.29,0,6.57,102,Completed,Late,Long Distance,14/12/2024
2279272,3.2,0,5.67,36,Completed,On Time,Long Distance,14/12/2024
2279273,3.5,0,4.97,0,Cancelled,Unknown,Short Distance,Null
2279274,5.71,0,8.13,27,Completed,On Time,Long Distance,14/12/2024
2279275,3.86,0,4.49,26,Completed,Late,Short Distance,14/12/2024
2279277,2.61,0,5.31,36,Completed,On Time,Long Distance,14/12/2024
2279279,0.99,0,1.55,17,Completed,On Time,Short Distance,14/12/2024
2279281,2.19,50,3.32,21,Completed,Late,Short Distance,14/12/2024
2279283,0.73,18,1.3,14,Completed,On Time,Short Distance,14/12/2024
2279284,2.03,0,2.52,14,Completed,On Time,Short Distance,14/12/2024
2279285,5.83,36,7.7,43,Completed,Late,Long Distance,14/12/2024
2279286,2.71,40,3.83,20,Completed,Late,Short Distance,14/12/2024
2279287,1.26,0,1.76,7,Completed,Late,Short Distance,14/12/2024
2279288,0.8,0,4.03,7,Completed,On Time,Short Distance,14/12/2024
2279289,7.39,0,10.28,34,Completed,Late,Long Distance,14/12/2024
2279290,1.56,64,4.1,29,Completed,On Time,Short Distance,14/12/2024
2279291,0.33,3,1.01,7,Completed,On Time,Short Distance,14/12/2024
2279292,2.66,0,3.43,48,Completed,Late,Short Distance,14/12/2024
2279293,6.01,0,13.5,43,Completed,On Time,Long Distance,14/12/2024
2279294,3.49,0,4.2,12,Completed,Late,Short Distance,14/12/2024
2279295,1.95,14,4.01,10,Completed,Early,Short Distance,14/12/2024
2279296,0.93,0,4.69,67,Completed,Late,Short Distance,14/12/2024
2279297,1.22,0,4.77,34,Completed,On Time,Short Distance,14/12/2024
2279298,8.95,0,12.23,46,Completed,On Time,Long Distance,14/12/2024
2279300,8.41,0,11.93,0,Cancelled,Unknown,Long Distance,Null
2279301,3.24,0,7.38,15,Completed,On Time,Long Distance,15/12/2024
2279302,2.22,27,4.03,0,Completed,Late,Short Distance,14/12/2024
2279303,1.58,0,2.38,10,Completed,Late,Short Distance,14/12/2024
2279304,3.49,0,5.39,59,Completed,On Time,Long Distance,14/12/2024
2279305,0.8,5,1.44,0,Completed,On Time,Short Distance,14/12/2024
2279306,10.86,42,14.87,170,Completed,On Time,Long Distance,14/12/2024
2279308,0.44,0,0.69,3,Completed,Late,Short Distance,15/12/2024
2279309,3.12,0,5.07,24,Completed,On Time,Long Distance,14/12/2024
2279310,2.34,0,3.93,0,Cancelled,Unknown,Short Distance,Null
2279311,2.91,0,5.11,60,Completed,On Time,Long Distance,14/12/2024
2279312,4.01,0,5.78,50,Completed,On Time,Long Distance,14/12/2024
2279313,3.76,0,9.32,27,Completed,Late,Long Distance,14/12/2024
2279314,1.81,0,3.39,0,Cancelled,Unknown,Short Distance,Null
2279315,1.69,0,3.66,20,Completed,On Time,Short Distance,14/12/2024
2279317,1.21,0,1.93,8,Completed,On Time,Short Distance,14/12/2024
2279318,0.56,0,2.13,11,Completed,On Time,Short Distance,14/12/2024
2279319,3.98,0,5.21,42,Completed,On Time,Long Distance,14/12/2024
2279323,4.43,0,7.27,0,Cancelled,Unknown,Long Distance,Null
2279325,1.55,20,2.15,16,Completed,Late,Short Distance,14/12/2024
2279326,3.27,9,6.17,24,Completed,On Time,Long Distance,14/12/2024
2279328,2.25,0,3.53,0,Cancelled,Unknown,Short Distance,Null
2279329,2.8,0,4.4,19,Completed,On Time,Short Distance,14/12/2024
2279331,0.96,0,1.12,3,Completed,On Time,Short Distance,14/12/2024
2279332,2.19,0,5.16,7,Completed,Late,Long Distance,14/12/2024
2279333,4.36,22,5.74,17,Completed,Late,Long Distance,14/12/2024
2279334,2.03,0,2.91,17,Completed,Early,Short Distance,14/12/2024
2279335,4.7,0,5.43,21,Completed,Late,Long Distance,14/12/2024
2279336,6.22,0,10.61,1,Completed,On Time,Long Distance,Null
2279337,0.9,0,1.35,5,Completed,Late,Short Distance,14/12/2024
2279338,3,0,5.59,25,Completed,Late,Long Distance,14/12/2024
2279339,1.85,0,3.76,0,Cancelled,Unknown,Short Distance,Null
2279341,1.49,0,2.37,13,Completed,On Time,Short Distance,14/12/2024
2279343,1.24,0,2.22,54,Completed,Late,Short Distance,14/12/2024
2279344,7.35,1,8.18,24,Completed,On Time,Long Distance,14/12/2024
2279346,4.19,0,7.07,35,Completed,On Time,Long Distance,14/12/2024
2279347,6.11,9,10.98,33,Completed,Late,Long Distance,14/12/2024
2279348,2.75,0,7.28,29,Completed,Late,Long Distance,14/12/2024
2279349,7.95,76,12.68,31,Completed,Late,Long Distance,14/12/2024
2279350,2.87,0,6.44,15,Completed,On Time,Long Distance,14/12/2024
2279351,2.01,1,3.21,12,Completed,Late,Short Distance,14/12/2024
2279352,2.33,7,4.39,36,Completed,On Time,Short Distance,14/12/2024
2279353,3.04,0,4.49,89,Completed,Late,Short Distance,14/12/2024
2279354,2.83,0,5.53,60,Completed,Late,Long Distance,14/12/2024
2279355,6.86,14,7.84,33,Completed,Late,Long Distance,14/12/2024
2279357,3.26,44,4.75,13,Completed,Late,Short Distance,14/12/2024
2279359,0.65,0,1.77,11,Completed,On Time,Short Distance,14/12/2024
2279360,3.54,0,5.31,15,Completed,Late,Long Distance,14/12/2024
2279363,2.18,0,5.36,16,Completed,Late,Long Distance,14/12/2024
2279364,0.37,1,0.67,0,Completed,On Time,Short Distance,14/12/2024
2279366,3.37,0,5.67,47,Completed,Late,Long Distance,14/12/2024
2279367,2.19,28,4.25,1,Completed,Late,Short Distance,14/12/2024
2279368,1.86,0,3.64,19,Completed,On Time,Short Distance,14/12/2024
2279369,2.52,36,3.12,18,Completed,Late,Short Distance,14/12/2024
2279370,7.72,1,10.07,99,Completed,On Time,Long Distance,14/12/2024
2279372,1.39,21,2.54,10,Completed,On Time,Short Distance,14/12/2024
2279373,3.45,0,5.17,0,Cancelled,Unknown,Long Distance,Null
2279374,3.25,0,4.81,30,Completed,Late,Short Distance,14/12/2024
2279375,2.77,0,4.65,16,Completed,On Time,Short Distance,14/12/2024
2279376,4.56,25,7.79,12,Completed,On Time,Long Distance,14/12/2024
2279377,1.82,0,3.77,2,Completed,On Time,Short Distance,14/12/2024
2279379,1.03,0,1.73,12,Completed,On Time,Short Distance,14/12/2024
2279380,4.64,55,6.12,21,Completed,Early,Long Distance,14/12/2024
2279381,2.33,0,5.07,21,Completed,Late,Long Distance,14/12/2024
2279382,4.72,0,10.95,33,Completed,On Time,Long Distance,15/12/2024
2279384,3.73,0,4.59,45,Completed,On Time,Short Distance,14/12/2024
2279385,1.42,0,2,0,Cancelled,Unknown,Short Distance,Null
2279386,5.69,3,8.44,23,Completed,Late,Long Distance,14/12/2024
2279387,1.5,0,4.44,23,Completed,Late,Short Distance,14/12/2024
2279388,1.7,0,2.3,17,Completed,On Time,Short Distance,14/12/2024
2279389,3.86,0,9.91,26,Completed,On Time,Long Distance,14/12/2024
2279391,4.78,0,14.45,28,Completed,On Time,Long Distance,14/12/2024
2279392,0.46,0,1.73,0,Cancelled,Unknown,Short Distance,Null
2279393,6.27,0,7.71,24,Completed,Late,Long Distance,14/12/2024
2279395,1.15,28,2.26,13,Completed,Early,Short Distance,16/12/2024
2279397,0.72,0,5.67,12,Completed,Late,Long Distance,14/12/2024
2279398,3.89,0,5.8,0,Completed,Late,Long Distance,14/12/2024
2279399,1.73,0,4.05,15,Completed,On Time,Short Distance,14/12/2024
2279400,2.57,0,3.86,20,Completed,On Time,Short Distance,14/12/2024
2279401,1.62,0,3.29,18,Completed,On Time,Short Distance,14/12/2024
2279402,4.65,40,7.92,13,Completed,Late,Long Distance,14/12/2024
2279403,2.27,60,3.25,10,Completed,On Time,Short Distance,14/12/2024
2279404,3.62,10,5.3,62,Completed,Late,Long Distance,14/12/2024
2279405,0.8,0,1.2,0,Completed,On Time,Short Distance,14/12/2024
2279407,3.6,0,5.09,26,Completed,On Time,Long Distance,14/12/2024
2279409,1.45,0,5.78,21,Completed,Early,Long Distance,14/12/2024
2279410,2.22,0,3.93,98,Completed,Late,Short Distance,14/12/2024
2279414,1.68,3,5.93,27,Completed,Late,Long Distance,14/12/2024
2279416,0.97,0,1.16,6,Completed,On Time,Short Distance,14/12/2024
2279417,2.06,90,4.04,53,Completed,Late,Short Distance,14/12/2024
2279418,6.07,0,12.1,26,Completed,Early,Long Distance,14/12/2024
2279419,2.1,0,3.77,14,Completed,Early,Short Distance,14/12/2024
2279420,4.14,0,9.53,63,Completed,Late,Long Distance,14/12/2024
2279422,1.66,38,2.84,9,Completed,On Time,Short Distance,14/12/2024
2279423,1.89,28,2.86,18,Completed,On Time,Short Distance,14/12/2024
2279424,0.87,0,1.93,0,Cancelled,Unknown,Short Distance,Null
2279426,0.96,4,1.56,22,Completed,Late,Short Distance,14/12/2024
2279427,2.42,0,3.49,14,Completed,Early,Short Distance,14/12/2024
2279428,0.98,0,5.12,35,Completed,Late,Long Distance,14/12/2024
2279429,3.79,87,5.61,13,Completed,Early,Long Distance,14/12/2024
2279431,1.27,0,1.63,12,Completed,Early,Short Distance,14/12/2024
2279432,2.62,0,4.23,40,Completed,Early,Short Distance,14/12/2024
2279433,3.29,0,7.76,58,Completed,Late,Long Distance,14/12/2024
2279436,4.13,0,8.55,0,Cancelled,Unknown,Long Distance,Null
2279437,7.64,0,9.3,26,Completed,On Time,Long Distance,Null
2279438,0.93,31,1.62,8,Completed,On Time,Short Distance,14/12/2024
2279441,5.72,3,8.08,23,Completed,Late,Long Distance,14/12/2024
2279442,6.2,0,11.92,63,Completed,Late,Long Distance,14/12/2024
2279443,1.42,0,2.27,28,Completed,Late,Short Distance,14/12/2024
2279444,2.18,0,3.11,29,Completed,On Time,Short Distance,14/12/2024
2279445,2.3,0,2.8,27,Completed,Late,Short Distance,14/12/2024
2279447,0.84,0,1.31,8,Completed,On Time,Short Distance,14/12/2024
2279448,0.68,0,2.75,8,Completed,On Time,Short Distance,14/12/2024
2279449,0.93,0,7.04,20,Completed,Late,Long Distance,14/12/2024
2279450,1.01,0,2.19,11,Completed,On Time,Short Distance,14/12/2024
2279451,0.79,0,2.36,16,Completed,On Time,Short Distance,14/12/2024
2279452,2.55,0,3.47,23,Completed,Early,Short Distance,14/12/2024
2279453,5.24,0,11.12,59,Completed,Late,Long Distance,14/12/2024
2279455,0.56,0,2.13,9,Completed,Late,Short Distance,14/12/2024
2279456,4.36,0,9.31,26,Completed,On Time,Long Distance,14/12/2024
2279458,3.22,0,5.38,0,Cancelled,Unknown,Long Distance,Null
